match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure
45,"April 27,2025","Wankhede Stadium, Mumbai",MI,LSG,League,LSG,Bowl,215,7,161,10,completed,MI,54,,0,Will Jacks,Ryan Rickelton,58,Jasprit Bumrah,4--22
46,"April 27,2025","Arun Jaitley Stadium, Delhi",DC,RCB,League,RCB,Bowl,162,8,165,4,completed,RCB,,6,9,Krunal Pandya,Krunal Pandya,73,Bhuvneshwar Kumar,3--33
47,"April 28,2025","Sawai Mansingh Stadium, Jaipur",RR,GT,League,RR,Bowl,209,4,212,2,completed,RR,,8,25,Vaibhav Suryavanshi,Vaibhav Suryavanshi,101,Maheesh Theekshana,2--35
48,"April 29,2025","Arun Jaitley Stadium, Delhi",DC,KKR,League,DC,Bowl,204,9,190,9,completed,KKR,14,,0,Sunil Narine,Faf du Plessis,62,Sunil Narine,3--29
49,"April 30,2025","MA Chidambaram Stadium, Chennai",CSK,PBKS,League,PBKS,Bowl,190,10,194,6,completed,PBKS,,4,2,Shreyas Iyer,Sam Curran,88,Yuzvendra Chahal,4--32
50,"May 1,2025","Sawai Mansingh Stadium, Jaipur",RR,MI,League,RR,Bowl,217,2,117,10,completed,MI,100,,23,Ryan Rickelton,Ryan Rickelton,61,Karn Sharma,3--23
51,"May 2,2025","Narendra Modi Stadium, Ahmedabad",GT,SRH,League,SRH,Bowl,224,6,186,6,completed,GT,38,,0,Prasidh Krishna,Shubman Gill,76,Jaydev Unadkat,3--35
52,"May 3,2025","M. Chinnaswamy Stadium, Bangalore",RCB,CSK,League,CSK,Bowl,213,5,211,5,completed,RCB,2,,0,Romario Shepherd,Ayush Mhatre,94,Lungi Ngidi,3--30
53,"May 4,2025","Eden Gardens, Kolkata",KKR,RR,League,KKR,Bat,206,4,205,8,completed,KKR,1,,0,Andre Russell,Riyan Parag,95,Varun Chakravarthy,2--32
54,"May 4,2025","HPCA Stadium, Dharamshala",PBKS,LSG,League,LSG,Bowl,236,5,199,7,completed,PBKS,37,,0,Prabhsimran Singh,Prabhsimran Singh,91,Arshdeep Singh,3--16
55,"May 5,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,League,SRH,Bowl,133,7,,,tied,,,,,,,,,
56,"May 6,2025","Wankhede Stadium, Mumbai",MI,GT,League,GT,Bowl,155,8,147,7,completed,GT,,3,0,Shubman Gill,Will Jacks,53,Jasprit Bumrah,2--19
57,"May 7,2025","Eden Gardens, Kolkata",KKR,CSK,League,KKR,Bat,179,6,183,8,completed,CSK,,2,2,Noor Ahmad,Dewald Brevis,52,Noor Ahmad,4--31
58,"May 17,2025","M. Chinnaswamy Stadium, Bangalore",RCB,KKR,League,,Bowl,,,,,tied,,,,,,,,,
59,"May 18,2025","Sawai Mansingh Stadium, Jaipur",RR,PBKS,League,PBKS,Bat,219,5,209,7,completed,PBKS,10,,0,Harpreet Brar,Nehal Wadhera,70,Harpreet Brar,3--22
60,"May 18,2025","Arun Jaitley Stadium, Delhi",DC,GT,League,GT,Bowl,199,3,205,0,completed,GT,,10,6,Sai Sudarshan,Sai Sudarshan,108,Arshad Khan,1--7
61,"May 19,2025","Ekana Cricket Stadium, Lucknow",LSG,SRH,League,SRH,Bowl,205,7,206,4,completed,SRH,,6,10,Abhishek Sharma,Mitchell Marsh,65,Eshan Malinga,2--28
62,"May 20,2025","Arun Jaitley Stadium, Delhi",CSK,RR,League,RR,Bowl,187,8,188,4,completed,RR,,6,17,Akash Madhwal,Vaibhav Suryavanshi,57,Akash Madhwal,3--29
63,"May 21,2025","Wankhede Stadium, Mumbai",MI,DC,League,DC,Bowl,180,5,121,10,completed,MI,59,,10,Suryakumar Yadav,Suryakumar Yadav,73,Mitchell Santner,3--11
64,"May 22,2025","Narendra Modi Stadium, Ahmedabad",GT,LSG,League,GT,Bowl,235,2,202,9,completed,LSG,33,,0,Mitchell Marsh,Mitchell Marsh,117,Will O'Rourke,3--27
65,"May 23,2025","Ekana Cricket Stadium, Lucknow",RCB,SRH,League,RCB,Bowl,231,6,189,10,completed,SRH,42,,1,Ishan Kishan,Ishan Kishan,94,Pat Cummins,3--28
66,"May 24,2025","Sawai Mansingh Stadium, Jaipur",PBKS,DC,League,DC,Bowl,206,8,208,4,completed,DC,,6,3,Sameer Rizvi,Sameer Rizvi,58,Mustafizur Rahman,3--33
67,"May 25,2025","Narendra Modi Stadium, Ahmedabad",GT,CSK,League,CSK,Bat,230,5,147,10,completed,CSK,83,,9,Dewald Brevis,Dewald Brevis,57,Noor Ahmad,3--21
68,"May 25,2025","Arun Jaitley Stadium, Delhi",KKR,SRH,League,SRH,Bat,278,3,168,10,completed,SRH,110,,8,Heinrich Klassen,Heinrich Klassen,105,Jaydev Unadkat,3--24
69,"May 26,2025","Sawai Mansingh Stadium, Jaipur",PBKS,MI,League,PBKS,Bowl,184,7,187,3,completed,PBKS,,7,9,Josh Inglis,Josh Inglis,73,Arshdeep Singh,2--28
70,"May 27,2025","Ekana Cricket Stadium, Lucknow",LSG,RCB,League,RCB,Bowl,227,3,230,4,completed,RCB,,6,8,Jitesh Sharma,Rishabh Pant,118,Will O'Rourke,2--74
71,"May 29,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,Playoffs,RCB,Bowl,101,10,106,2,completed,RCB,,8,60,Suyash Sharma,Phil Salt,56,Suyash Sharma,3--17
72,"May 30,2025","New PCA Cricket Stadium, Mullanpur",GT,MI,Playoffs,MI,Bat,228,5,208,6,completed,MI,20,,0,Rohit Sharma,Rohit Sharma,81,Sai Kishore,2--42
73,"June 1,2025","Narendra Modi Stadium, Ahmedabad",PBKS,MI,Playoffs,PBKS,Bowl,203,6,207,5,completed,PBKS,,5,6,Shreyas Iyer,Shreyas Iyer,87,Azmatullah Omarzai,2--43
74,"June 3,2025","Narendra Modi Stadium, Ahmedabad",RCB,PBKS,Final,PBKS,Bowl,190,9,184,7,completed,RCB,6,,0,Krunal Pandya,Shashank Singh,61,Arshdeep Singh,3--40
